symbol,earnings_date,session,effective_session,t0_date,t1_date,t2_date,signal,R1,Gap2,t0_close,t1_close,entry_price,target_price,exit_price,t2_high,t2_low,t2_close,hit_target,gross_return,cost_bps,net_return
AAPL,2025-07-31,unknown,amc,2025-07-31,2025-08-01,2025-08-04,SHORT,-0.02500361323890732,0.010524755410613595,207.57,202.38,204.51,202.38,202.38,207.88,201.68,203.35,True,0.010415138624028143,20,0.008415138624028142
JNJ,2025-07-16,unknown,amc,2025-07-16,2025-07-17,2025-07-18,SHORT,-0.010923655783468988,0.005828936065775059,164.78,162.98,163.93,162.98,163.7,165.1,163.36,163.7,False,0.0014030378820229256,20,-0.0005969621179770744
WMT,2025-05-15,unknown,amc,2025-05-15,2025-05-16,2025-05-19,LONG,0.01961598339387649,-0.016184853420195378,96.35,98.24,96.65,98.24,98.24,98.28,95.81,98.12,True,0.016451112260734497,20,0.014451112260734497
XOM,2025-05-02,unknown,amc,2025-05-02,2025-05-05,2025-05-06,SHORT,-0.027681009321156136,0.006003679674639439,106.21,103.27,103.89,103.27,104.71,105.98,103.48,104.71,False,-0.007892963711617991,20,-0.009892963711617991
AAPL,2024-05-02,unknown,amc,2024-05-02,2024-05-03,2024-05-06,LONG,0.05981621684101013,-0.0056167520994655495,173.03,183.38,182.35,183.38,183.38,184.2,180.42,181.71,True,0.005648478201261317,20,0.0036484782012613168
XOM,2024-04-26,unknown,amc,2024-04-26,2024-04-29,2024-04-30,LONG,0.014242115971515812,-0.004429956536275537,117.96,119.64,119.11,119.64,119.64,120.2,117.98,118.27,True,0.004449668373772153,20,0.0024496683737721533
