symbol,earnings_date,session,effective_session,t0_date,t1_date,t2_date,t0_open,t0_high,t0_low,t0_close,t0_volume,t1_open,t1_high,t1_low,t1_close,t1_volume,t2_open,t2_high,t2_low,t2_close,t2_volume,R1,Gap2,abs_R1,abs_Gap2
AAPL,2024-10-31,unknown,amc,2024-10-31,2024-11-01,2024-11-04,229.34,229.83,225.37,225.91,64370100,220.97,225.35,220.27,222.91,65276741,220.99,222.79,219.71,222.01,44944500,-0.01327962462927712,-0.008613341707415456,0.01327962462927712,0.008613341707415456
JNJ,2024-10-15,unknown,amc,2024-10-15,2024-10-16,2024-10-17,160.0,166.75,159.0,164.1,10547966,164.0,164.99,162.64,164.28,5982291,164.26,165.0,163.63,164.47,4798238,0.00109689213893982,-0.00012174336498671501,0.00109689213893982,0.00012174336498671501
JPM,2024-10-11,unknown,amc,2024-10-11,2024-10-14,2024-10-15,215.67,224.63,215.16,222.29,18320700,223.2,223.7,218.88,221.48,9048925,223.66,225.45,221.82,222.39,9235825,-0.003643888613972801,0.009842875203178725,0.003643888613972801,0.009842875203178725
WMT,2024-08-15,unknown,amc,2024-08-15,2024-08-16,2024-08-19,74.12,74.44,72.78,73.18,49567500,72.7,73.61,72.52,73.45,19872144,73.39,73.98,73.34,73.72,13709300,0.0036895326591963595,-0.0008168822328115111,0.0036895326591963595,0.0008168822328115111
XOM,2024-08-02,unknown,amc,2024-08-02,2024-08-05,2024-08-06,115.97,118.87,115.42,116.88,20403800,115.54,116.03,113.25,114.77,18025900,114.45,115.63,113.63,114.16,13647800,-0.018052703627652322,-0.0027881850657837104,0.018052703627652322,0.0027881850657837104
AAPL,2024-08-01,unknown,amc,2024-08-01,2024-08-02,2024-08-05,224.37,224.48,217.02,218.36,62501000,219.15,225.6,217.71,219.86,105568600,199.09,213.5,196.0,209.27,119548600,0.006869389998168218,-0.09446920767761302,0.006869389998168218,0.09446920767761302
JNJ,2024-07-17,unknown,amc,2024-07-17,2024-07-18,2024-07-19,151.55,157.49,151.42,156.58,13801429,155.6,157.07,154.62,155.42,10166247,156.51,156.51,154.12,154.69,7398036,-0.007408353557287195,0.007013254407412184,0.007408353557287195,0.007013254407412184
WMT,2024-05-16,unknown,amc,2024-05-16,2024-05-17,2024-05-20,64.22,64.42,62.94,64.01,60545613,64.24,64.88,63.63,64.65,29330400,64.42,64.76,63.87,64.18,15001400,0.009998437744102473,-0.003557617942768765,0.009998437744102473,0.003557617942768765
AAPL,2024-05-02,unknown,amc,2024-05-02,2024-05-03,2024-05-06,172.51,173.42,170.89,173.03,94214915,186.65,187.0,182.66,183.38,163224109,182.35,184.2,180.42,181.71,78569700,0.05981621684101013,-0.0056167520994655495,0.05981621684101013,0.0056167520994655495
XOM,2024-04-26,unknown,amc,2024-04-26,2024-04-29,2024-04-30,119.0,119.1,116.22,117.96,27289500,117.76,120.05,117.76,119.64,17343755,119.11,120.2,117.98,118.27,21083300,0.014242115971515812,-0.004429956536275537,0.014242115971515812,0.004429956536275537
JNJ,2024-04-16,unknown,amc,2024-04-16,2024-04-17,2024-04-18,145.01,146.25,143.39,144.45,12774859,145.0,145.41,143.54,144.77,9378059,144.98,145.8,143.13,145.74,9887704,0.002215299411561178,0.0014505767769563693,0.002215299411561178,0.0014505767769563693
WMT,2024-02-20,unknown,amc,2024-02-20,2024-02-21,2024-02-22,59.49,60.45,58.41,58.62,71788685,58.33,58.53,57.6,57.9,40551571,57.96,58.49,57.77,58.47,29512964,-0.0122824974411464,0.0010362694300518616,0.0122824974411464,0.0010362694300518616
XOM,2024-02-02,unknown,amc,2024-02-02,2024-02-05,2024-02-06,103.75,104.0,101.61,101.97,21973405,101.45,102.38,100.5,101.55,17190900,102.07,103.04,101.57,102.25,13353286,-0.004118858487790589,0.00512063023141307,0.004118858487790589,0.00512063023141307
AAPL,2024-02-01,unknown,amc,2024-02-01,2024-02-02,2024-02-05,183.99,186.95,183.82,186.86,64885408,179.86,187.33,179.25,185.85,102551700,188.15,189.25,185.84,187.68,69668820,-0.005405116129722942,0.012375571697605725,0.005405116129722942,0.012375571697605725
JNJ,2024-01-23,unknown,amc,2024-01-23,2024-01-24,2024-01-25,159.66,160.51,156.91,159.81,9149777,159.75,160.6,158.16,158.96,7247926,159.0,159.62,158.47,159.56,5478898,-0.005318816094111667,0.0002516356316053514,0.005318816094111667,0.0002516356316053514
